"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"SI","2024-09-28","100.6","0.29","6.37","Judge, Aaron",592450,547973,"strikeout","swinging_strike",,,,,12,"Aaron Judge strikes out swinging.","R","R","L","NYY","PIT","S",2,,3,2,2024,"0.94","1.69","1.06","3.31",665828,542932,665742,1,9,"Bot",,,,,,,-0.11376267072730079,-146.3102869429554,-7.2058119324583165,13.376980449402705,38.23179576842304,-6.482183420769978,"4","1.8",,,,"101.8",2394,"7.2",745685,518735,669707,694377,643396,693304,695257,665833,641943,"53.28",,0,"0",1,0,0,,77,6,"Sinker",4,9,4,9,9,4,4,9,"Standard","Standard",166,"-0.027","-0.974","74.9","8.1",,"0.974",,-5,-5,"0.041","0.041",36,32,36,32,1,4,1,2,,7,"0.59","0.94","-0.94","53.9"
"FF","2024-09-28","97.4","-1.84","5.95","Judge, Aaron",592450,670280,"strikeout","foul_tip",,,,,2,"Aaron Judge strikes out on a foul tip.","R","R","R","NYY","PIT","S",2,,3,2,2024,"-0.77","1.65","-0.16","3.88",,542932,691176,1,6,"Bot",,,,,,,6.34337219817991,-141.68644935974132,-3.864832203275719,-11.882605216396874,32.76361038771208,-9.302167561953766,"4","1.8",,,,"98.1",2295,"6.8",745685,518735,669707,694377,643396,693304,695257,665833,641943,"53.75",,0,"0",1,0,0,,47,6,"4-Seam Fastball",1,6,1,6,6,1,1,6,"Standard","Standard",214,"-0.027","-0.581","75.8","7.3",,"0.581",,-5,-5,"0.074","0.074",29,32,30,32,1,2,2,2,,7,"0.76","0.77","0.77","38.8"
"SI","2024-09-28","94","-2.19","5.87","Judge, Aaron",592450,642701,"strikeout","called_strike",,,,,8,"Aaron Judge called out on strikes.","R","R","R","NYY","PIT","S",2,,1,2,2024,"-1.33","0.97","0.05","2.04",,,,0,8,"Bot",,,,,,,8.671835792270572,-136.54274127001705,-6.271225511662274,-18.576371869303394,30.200907714767016,-18.86235656413217,"4.17","1.91",,,,"93.1",2430,"5.9",745685,518735,669707,694377,643396,693304,695257,665833,641943,"54.63",,0,"0",1,0,0,,62,5,"Sinker",3,6,3,6,6,3,3,6,"Standard","Standard",224,"-0.025","-0.167",,,,"0.167",,-3,-3,"0.079","0.079",28,32,28,32,1,3,1,2,,7,"1.62","1.33","1.33","30.6"
"FF","2024-09-28","97.2","-1.85","5.99","Judge, Aaron",592450,670280,,"swinging_strike",,,,,2,"Aaron Judge strikes out on a foul tip.","R","R","R","NYY","PIT","S",,,3,1,2024,"-0.71","1.86","-0.14","3.63",,542932,691176,1,6,"Bot",,,,,,,6.255767747036115,-141.28922666026244,-5.004753458236404,-10.984387559960842,36.227813740418924,-6.427296001819479,"4","1.8",,,,"97.3",2371,"6.7",745685,518735,669707,694377,643396,693304,695257,665833,641943,"53.79",,,,,,,,47,5,"4-Seam Fastball",1,6,1,6,6,1,1,6,"Standard","Standard",211,"0","-0.125","75.2","7.7",,"0.125",,-5,-5,"0.074","0.074",29,32,30,32,1,2,2,2,,7,"0.58","0.71","0.71","42.7"
"FF","2024-09-28","99.9","0.35","6.26","Judge, Aaron",592450,547973,,"foul",,,,,6,"Aaron Judge strikes out swinging.","R","R","L","NYY","PIT","S",,,3,1,2024,"0.25","1.63","0.28","3.13",665828,542932,665742,1,9,"Bot",,,,,,,-0.7885850645079578,-145.36825724742806,-7.208181667579601,3.719337281951187,35.20709621661715,-7.591471725309481,"4","1.8",232,"86.4",56,"101.8",2526,"7.4",745685,518735,669707,694377,643396,693304,695257,665833,641943,"53.12",,,,,,,,77,5,"4-Seam Fastball",4,9,4,9,9,4,4,9,"Standard","Standard",162,"0","-0.208","79.6","8.0",,"0.208","88.0",-5,-5,"0.041","0.041",36,32,36,32,1,4,1,2,,7,"0.66","0.25","-0.25","52.2"
"FF","2024-09-28","94.5","-2.22","5.93","Judge, Aaron",592450,642701,,"foul",,,,,4,"Aaron Judge called out on strikes.","R","R","R","NYY","PIT","S",,,1,2,2024,"-1.4","1.5","-0.38","3.18",,,,0,8,"Bot",,,,,,,7.872821631965254,-137.21973115889134,-4.678609043164948,-19.498389886172763,35.440671918285226,-12.500619821795482,"4","1.8",,,,"93.3",2510,"6.1",745685,518735,669707,694377,643396,693304,695257,665833,641943,"54.41",,,,,,,,62,4,"4-Seam Fastball",3,6,3,6,6,3,3,6,"Standard","Standard",222,"0","0","80.1","8.0",,"0",,-3,-3,"0.079","0.079",28,32,28,32,1,3,1,2,,7,"1.1","1.4","1.4","29.7"
"FS","2024-09-28","90.7","-1.97","5.79","Judge, Aaron",592450,670280,,"ball",,,,,14,"Aaron Judge strikes out on a foul tip.","R","R","R","NYY","PIT","B",,,2,1,2024,"-0.3","0.52","1.53","1.6",,542932,691176,1,6,"Bot",,,,,,,9.454871061703031,-131.704092175827,-5.6331590585882445,-5.64059542366128,29.45000849227014,-25.022984136738305,"4.1","1.96",,,,"91",1795,"6.7",745685,518735,669707,694377,643396,693304,695257,665833,641943,"53.78",,,,,,,,47,4,"Split-Finger",1,6,1,6,6,1,1,6,"Standard","Standard",219,"0","0.202",,,,"-0.202",,-5,-5,"0.074","0.074",29,32,30,32,1,2,2,2,,7,"2.27","0.3","0.3","40.0"
"SL","2024-09-28","89.7","0.36","6.31","Judge, Aaron",592450,547973,,"ball",,,,,14,"Aaron Judge strikes out swinging.","R","R","L","NYY","PIT","B",,,2,1,2024,"-0.38","0.81","0.7","1.07",665828,542932,665742,1,9,"Bot",,,,,,,1.6763302859707245,-130.373002025145,-8.829749030281793,-4.709565909147991,27.801757826586652,-21.266011145699625,"4","1.86",,,,"91.6",2362,"7.5",745685,518735,669707,694377,643396,693304,695257,665833,641943,"52.98",,,,,,,,77,4,"Slider",4,9,4,9,9,4,4,9,"Standard","Standard",253,"0","0.336",,,,"-0.336",,-5,-5,"0.041","0.041",36,32,36,32,1,4,1,2,,7,"2.03","-0.38","0.38","54.9"
"FF","2024-09-28","97.3","-1.81","6.06","Judge, Aaron",592450,670280,,"ball",,,,,12,"Aaron Judge strikes out on a foul tip.","R","R","R","NYY","PIT","B",,,1,1,2024,"-0.59","1.59","0.45","4.7",,542932,691176,1,6,"Bot",,,,,,,7.4609641875658905,-141.46739950258117,-1.7503394205971736,-9.665045625418905,33.90207311609375,-10.648194117460358,"4.28","1.96",,,,"97.7",2409,"6.7",745685,518735,669707,694377,643396,693304,695257,665833,641943,"53.81",,,,,,,,47,3,"4-Seam Fastball",1,6,1,6,6,1,1,6,"Standard","Standard",212,"0","0.082",,,,"-0.082",,-5,-5,"0.074","0.074",29,32,30,32,1,2,2,2,,7,"0.83","0.59","0.59","41.6"
"SL","2024-09-28","86.8","-2.28","5.82","Judge, Aaron",592450,642701,,"ball",,,,,14,"Aaron Judge called out on strikes.","R","R","R","NYY","PIT","B",,,0,2,2024,"0.17","0.21","0.11","0.84",,,,0,8,"Bot",,,,,,,5.328009032819759,-126.31297920838387,-6.187523023094006,0.8604678991132287,23.26560242055403,-28.978446969194017,"4.02","1.83",,,,"86.6",2594,"6",745685,518735,669707,694377,643396,693304,695257,665833,641943,"54.55",,,,,,,,62,3,"Slider",3,6,3,6,6,3,3,6,"Standard","Standard",165,"0","0.021",,,,"-0.021",,-3,-3,"0.079","0.079",28,32,28,32,1,3,1,2,,7,"2.79","-0.17","-0.17","30.4"
